close,high,low,open,timestamp,volume
0.02549436,0.02549436,0.02547574,0.02547574,1541894400,1294.1473
0.02546028,0.02547571,0.02546028,0.02547571,1541894460,1208.8008
0.02545785,0.02546567,0.02545785,0.02545786,1541894520,544.4401
0.02544411,0.02545007,0.02544411,0.02545007,1541894580,364.507
0.02543844,0.02544612,0.02543844,0.02544612,1541894640,723.4687
0.0254384,0.0254622,0.02543837,0.0254622,1541894700,871.8479
0.02543198,0.02543198,0.02543198,0.02543198,1541894760,403.5212
0.02543563,0.02543563,0.02543199,0.02543199,1541894820,643.4389
0.02543196,0.02543196,0.02543196,0.02543196,1541894880,881.0068
0.02543196,0.02545889,0.02543196,0.02545889,1541894940,895.0343
0.02543471,0.0254515,0.02543191,0.02543196,1541895000,1072.4101
0.02543467,0.02543467,0.02543467,0.02543467,1541895060,934.0971
0.02545413,0.02545413,0.02543468,0.02543468,1541895120,628.9702
0.02543463,0.02545399,0.02543463,0.02545399,1541895180,706.0174
0.02543463,0.02543463,0.02543463,0.02543463,1541895240,273.2964
0.02545416,0.02545416,0.02543466,0.02543466,1541895300,651.2524
0.02545721,0.02547747,0.02545424,0.02545424,1541895360,425.1106
0.02547746,0.02547746,0.02545431,0.02545431,1541895420,1524.5336
0.0254543,0.0254543,0.0254543,0.0254543,1541895480,336.3927
0.02548678,0.02548678,0.02545441,0.02545441,1541895540,1232.5773
0.0254643,0.0254643,0.0254643,0.0254643,1541895600,550.3461
0.02545424,0.02546421,0.02545424,0.02546421,1541895660,677.0793
0.02547763,0.02547763,0.02545017,0.02545017,1541895720,676.2872
0.02547762,0.02547762,0.02547762,0.02547762,1541895780,194.8936
0.0254677,0.02547698,0.02544314,0.02547698,1541895840,972.9205
0.02544315,0.02544811,0.02544315,0.02544811,1541895900,474.2095
0.0254432,0.02546588,0.0254432,0.02546588,1541895960,799.6003
0.02544323,0.02546128,0.02544323,0.02546128,1541896020,349.146
0.02543712,0.02544314,0.02543462,0.02544314,1541896080,297.762
0.02544759,0.02545193,0.02543716,0.02543716,1541896140,648.7973
0.02543164,0.0254371,0.02543163,0.0254371,1541896200,533.9077
0.0254254,0.0254509,0.0254254,0.02543163,1541896260,1564.7315
0.02542544,0.0254449,0.02542544,0.02544014,1541896320,811.6025
0.02542538,0.02542538,0.02542538,0.02542538,1541896380,225.7326
0.02544049,0.02544495,0.02543552,0.02544495,1541896440,401.9446
0.02542543,0.0254449,0.02542543,0.0254449,1541896500,679.139
0.02541745,0.025463,0.02541745,0.02544498,1541896560,806.5596
0.02541919,0.02542976,0.02541919,0.02542976,1541896620,417.0958
0.02543858,0.02543858,0.02541932,0.02541932,1541896680,778.0333
0.02542936,0.02542936,0.02541951,0.02541951,1541896740,484.5836
0.02541969,0.02541971,0.02541969,0.02541971,1541896800,701.0586
0.02543857,0.02543857,0.02543857,0.02543857,1541896860,309.537
0.02541963,0.02543281,0.02541963,0.02543281,1541896920,740.1882
0.02543859,0.02543859,0.02543857,0.02543857,1541896980,596.4219
0.02543861,0.02543861,0.02543861,0.02543861,1541897040,217.1422
0.02543859,0.02543859,0.02541954,0.02541954,1541897100,282.0031
0.02543796,0.02543796,0.02541907,0.02541907,1541897160,1158.025
0.0254379,0.0254379,0.02541903,0.02541903,1541897220,577.5296
0.02542101,0.02542101,0.02540755,0.02541903,1541897280,561.7471
0.02541044,0.02543296,0.0254075,0.02543296,1541897340,893.1833
0.02542966,0.02542966,0.02542966,0.02542966,1541897400,443.4858
0.0254102,0.0254102,0.02541017,0.02541017,1541897460,903.8847
0.02542226,0.02542226,0.02541013,0.02541019,1541897520,300.1484
0.02542964,0.02542964,0.02540757,0.02540757,1541897580,824.4206
0.02540759,0.02540759,0.02540759,0.02540759,1541897640,640.8403
0.02540756,0.02542879,0.02540756,0.02542879,1541897700,595.8339
0.02542971,0.02542971,0.0254297,0.0254297,1541897760,941.0659
0.02539977,0.0254297,0.0253942,0.0254297,1541897820,3479.5453
0.02539347,0.02541941,0.02539347,0.02541941,1541897880,1709.8469
0.02539427,0.02541375,0.02539427,0.02541375,1541897940,563.2797
0.02541377,0.02541377,0.02539501,0.02539501,1541898000,455.4861
0.02541377,0.02541377,0.02541372,0.02541372,1541898060,856.3171
0.02540812,0.02541376,0.02540812,0.02541376,1541898120,331.2686
0.02541371,0.02541375,0.02541371,0.02541375,1541898180,831.654
0.02541377,0.02541377,0.02541377,0.02541377,1541898240,394.2871
0.02541377,0.02541377,0.02539801,0.02539801,1541898300,327.4492
0.02539973,0.02539973,0.02539973,0.02539973,1541898360,238.194
0.0253943,0.02541376,0.0253943,0.02541376,1541898420,970.302
0.02541369,0.02541369,0.02541369,0.02541369,1541898480,1044.7305
0.02539449,0.02539449,0.02539449,0.02539449,1541898540,423.9568
0.0253942,0.0254137,0.0253942,0.0254137,1541898600,1290.2403
0.02541374,0.02541374,0.0253943,0.0253943,1541898660,708.7953
0.02540193,0.02541369,0.02540193,0.02541369,1541898720,435.992
0.02539422,0.02541838,0.02538885,0.02541378,1541898780,985.1026
0.02541372,0.02541372,0.02539419,0.02539419,1541898840,431.5463
0.02541374,0.02541374,0.02539425,0.02539425,1541898900,781.6963
0.02541373,0.02541373,0.02541373,0.02541373,1541898960,962.0334
0.0253829,0.02541371,0.0253829,0.02541371,1541899020,1573.1632
0.02538288,0.02540194,0.02538288,0.02538635,1541899080,323.7752
0.02540038,0.02540038,0.02540038,0.02540038,1541899140,685.3548
0.02537334,0.02537767,0.02537334,0.0253734,1541899200,2150.4317
0.02537913,0.02538894,0.02537913,0.02538894,1541899260,363.7879
0.02538882,0.02538882,0.02537913,0.02537913,1541899320,309.4019
0.02538695,0.02538733,0.02537921,0.02537921,1541899380,1354.3276
0.02536528,0.02537913,0.02536528,0.02537913,1541899440,346.2434
0.0253937,0.0253937,0.02536524,0.02536524,1541899500,835.1848
0.02536524,0.02536524,0.02536524,0.02536524,1541899560,319.1515
0.02539222,0.02539222,0.02536529,0.02536529,1541899620,1129.8697
0.02539174,0.02539174,0.02538344,0.02538344,1541899680,310.8187
0.02537226,0.02537226,0.02537226,0.02537226,1541899740,264.8382
0.02539166,0.02539166,0.02537219,0.02537219,1541899800,717.8577
0.0253645,0.02539169,0.0253645,0.02539169,1541899860,472.0171
0.02536614,0.02536617,0.02536614,0.02536617,1541899920,1040.338
0.02536612,0.02536612,0.02536612,0.02536612,1541899980,355.0406
0.02536612,0.0253723,0.02536612,0.0253723,1541900040,464.8317
0.02538562,0.02538562,0.02538557,0.02538557,1541900100,824.4642
0.02538393,0.02538393,0.02536616,0.02536616,1541900160,415.7463
0.02538559,0.02538559,0.02538559,0.02538559,1541900220,290.9654
0.02536615,0.02538367,0.0253661,0.0253661,1541900280,823.2894
0.02535888,0.02536609,0.02535136,0.02536609,1541900340,609.722
0.02537004,0.02537004,0.02535889,0.02535892,1541900400,1005.413
0.02537841,0.02537841,0.02537841,0.02537841,1541900460,255.308
0.02537841,0.02537841,0.02537841,0.02537841,1541900520,234.6599
0.02539278,0.02539278,0.02535967,0.02537838,1541900580,2035.681
0.0253927,0.02539274,0.0253927,0.02539274,1541900640,610.6613
0.02539013,0.02539867,0.02536201,0.02539867,1541900700,1018.3594
0.02539011,0.02539013,0.02538643,0.02539013,1541900760,1124.0698
0.02539008,0.02539008,0.02539008,0.02539008,1541900820,398.679
